player,season,role,team_t,toi_z,age_t,hit,blk,score,score_adj
J.J. Moser,2025,defense,TBL,0.09035302472089865,24.0,34.0,70.0,0.5487329274320815,0.5487329274320815
Rasmus Dahlin,2025,defense,BUF,1.2822875080987712,24.0,101.0,98.0,0.48838337407803667,0.48838337407803667
Cutter Gauthier,2025,forward,ANA,0.6902277249696175,21.0,68.0,51.0,0.4837525131968715,0.4837525131968715
Louis Crevier,2025,defense,CHI,-0.6473827229953975,23.0,70.0,49.0,0.4816801074865185,0.4816801074865185
Mavrik Bourque,2025,forward,DAL,0.2549689667507476,23.0,46.0,37.0,0.47493752795000527,0.47493752795000527
Marc Del Gaizo,2025,defense,NSH,-0.3023038186683771,25.0,71.0,53.0,0.4745094060515111,0.4745094060515111
Isaiah George,2025,defense,NYI,-0.7057774364192219,20.0,14.0,34.0,0.4743410169540952,0.4743410169540952
Jiri Kulich,2025,forward,BUF,0.2386880833962623,20.0,40.0,36.0,0.473001861886116,0.473001861886116
Jacob Bernard-Docker,2025,defense,2TM,-0.6609235261081683,24.0,30.0,50.0,0.4699528290374717,0.4699528290374717
Denton Mateychuk,2025,defense,CBJ,-0.23727093809356536,20.0,26.0,63.0,0.46965273169632543,0.46965273169632543
Albert Johansson,2025,defense,DET,0.05856387366318269,24.0,70.0,83.0,0.4680851711161374,0.4680851711161374
Nils Lundkvist,2025,defense,DAL,-0.5961286674630734,24.0,23.0,34.0,0.4656178711967229,0.4656178711967229
Jake Christiansen,2025,defense,CBJ,-0.172000035589037,25.0,50.0,65.0,0.4646758571898574,0.4646758571898574
Ty Dellandrea,2025,forward,SJS,0.026542303519125746,24.0,163.0,47.0,0.4625276918190218,0.4625276918190218
Jackson Blake,2025,forward,CAR,0.5918318739562668,21.0,19.0,30.0,0.4619134484745212,0.4619134484745212
Jayden Struble,2025,defense,MTL,-0.19622537865797862,23.0,124.0,54.0,0.4551761069225112,0.4551761069225112
Kaiden Guhle,2025,defense,MTL,0.3230062375784094,23.0,104.0,124.0,0.45412745506673086,0.45412745506673086
Oskar Back,2025,forward,DAL,0.12231220560433373,24.0,28.0,35.0,0.4533370480433476,0.4533370480433476
Victor Mancini,2025,defense,2TM,-0.772212001691254,22.0,38.0,41.0,0.4522400294963794,0.4522400294963794
Morgan Barron,2025,forward,WPG,-0.03821050769719568,26.0,122.0,38.0,0.4521421614700222,0.4521421614700222
Michael Pezzetta,2025,forward,MTL,-1.1863680596316335,26.0,73.0,7.0,0.44935686400538943,0.44935686400538943
Josh Doan,2025,forward,UTA,-0.18337914314828999,22.0,45.0,14.0,0.4489554914500578,0.4489554914500578
Jack St. Ivany,2025,defense,PIT,-1.0316294582013508,25.0,38.0,25.0,0.44784081443468293,0.44784081443468293
Nicolas Hague,2025,defense,VEG,0.30883070931972734,26.0,82.0,74.0,0.4478078500108493,0.4478078500108493
