player,season,role,team_t,gp_t,sog_per_gp_t,toi_z,age_t,toi_chg,score,score_adj
Connor Bedard,2025,forward,CHI,82.0,2.3780487804878048,1.6219761917082869,19.0,318.1500000000001,0.09837545382014645,0.09837545382014645
Jake Sanderson,2025,defense,OTT,80.0,2.4375,1.577699169758245,22.0,121.11666666666656,0.06057377374472555,0.06057377374472555
Andrei Svechnikov,2025,forward,CAR,72.0,2.5,0.8226373379816182,24.0,230.38333333333344,0.05700451076459909,0.05700451076459909
JJ Peterka,2025,forward,BUF,77.0,2.2467532467532467,1.134013093825751,23.0,55.98333333333335,0.03509341099148953,0.03509341099148953
Anton Lundell,2025,forward,FLA,79.0,2.0,0.9859404677952985,23.0,120.9333333333334,0.025750848571083524,0.025750848571083524
Matt Boldy,2025,forward,MIN,82.0,3.3048780487804876,1.6223778074267088,23.0,245.30000000000018,0.02270177425306283,0.02270177425306283
Kirill Marchenko,2025,forward,CBJ,79.0,2.6202531645569622,1.2598732812757951,24.0,187.7833333333333,0.01538728491160663,0.01538728491160663
Dylan Cozens,2025,forward,2TM,82.0,2.292682926829268,1.1318196541328316,23.0,38.16666666666674,0.013123040990152024,0.013123040990152024
Mason McTavish,2025,forward,ANA,76.0,2.3684210526315788,0.915997545756295,22.0,240.89999999999986,0.010624940295256588,0.010624940295256588
Dylan Guenther,2025,forward,UTA,70.0,2.914285714285714,0.7440751247549456,21.0,457.25,0.01007924185575699,0.01007924185575699
Lucas Raymond,2025,forward,DET,82.0,2.341463414634146,1.39364220902707,22.0,84.4666666666667,0.008323507471437135,0.008323507471437135
Pavel Dorofeyev,2025,forward,VEG,82.0,3.097560975609756,1.0506314919780166,24.0,731.1833333333334,0.00827550560927801,0.00827550560927801
Jiri Kulich,2025,forward,BUF,62.0,2.161290322580645,0.2386880833962623,20.0,902.2666666666667,0.008253640883796098,0.008253640883796098
Cutter Gauthier,2025,forward,ANA,82.0,2.317073170731707,0.6902277249696175,21.0,1145.35,0.008133111577925312,0.008133111577925312
Thomas Harley,2025,defense,DAL,78.0,2.1923076923076925,1.3689539373967206,23.0,163.48333333333335,0.007177664697738015,0.007177664697738015
Connor McMichael,2025,forward,WSH,82.0,2.158536585365854,1.0934807997819467,24.0,99.36666666666656,0.006026501430357893,0.006026501430357893
Logan Cooley,2025,forward,UTA,75.0,2.1066666666666665,1.0217460537684455,20.0,42.7833333333333,0.006007139645024415,0.006007139645024415
Dmitri Voronkov,2025,forward,CBJ,73.0,2.1095890410958904,0.8101563571937394,24.0,216.1833333333334,0.005389577851449628,0.005389577851449628
Adam Fantilli,2025,forward,CBJ,82.0,2.3292682926829267,1.195213150609879,20.0,663.3833333333334,0.005386607124450975,0.005386607124450975
Dylan Holloway,2025,forward,STL,77.0,2.311688311688312,0.9399709147943988,23.0,863.3666666666667,0.004712364529853091,0.004712364529853091
Logan Stankoven,2025,forward,2TM,78.0,2.4871794871794872,0.720565158468867,21.0,824.9833333333332,0.0043907108490126604,0.0043907108490126604
Olen Zellweger,2025,defense,ANA,62.0,2.096774193548387,0.3400644758747712,21.0,674.0166666666668,0.004114796286947158,0.004114796286947158
Wyatt Johnston,2025,forward,DAL,82.0,2.4634146341463414,1.4152985643050477,21.0,157.7166666666667,0.003796312104238756,0.003796312104238756
Matthew Coronato,2025,forward,CGY,77.0,2.3376623376623376,1.0477583949154605,22.0,924.8500000000001,0.0035214611129443813,0.0035214611129443813
Alex Laferriere,2025,forward,LAK,77.0,2.5064935064935066,0.8982028800785274,23.0,202.1166666666668,0.0026301847358154162,0.0026301847358154162
