player,season,role,team_t,toi_z,age_t,hit,blk,score,score_adj
J.J. Moser,2025,defense,TBL,0.09035302472089865,24.0,34.0,70.0,0.5487329274320815,0.5487329274320815
Rasmus Dahlin,2025,defense,BUF,1.2822875080987712,24.0,101.0,98.0,0.48838337407803667,0.48838337407803667
Cutter Gauthier,2025,forward,ANA,0.6902277249696175,21.0,68.0,51.0,0.4837525131968715,0.4837525131968715
Louis Crevier,2025,defense,CHI,-0.6473827229953975,23.0,70.0,49.0,0.4816801074865185,0.4816801074865185
Mavrik Bourque,2025,forward,DAL,0.2549689667507476,23.0,46.0,37.0,0.47493752795000527,0.47493752795000527
Isaiah George,2025,defense,NYI,-0.7057774364192219,20.0,14.0,34.0,0.4743410169540952,0.4743410169540952
Jiri Kulich,2025,forward,BUF,0.2386880833962623,20.0,40.0,36.0,0.473001861886116,0.473001861886116
Jacob Bernard-Docker,2025,defense,2TM,-0.6609235261081683,24.0,30.0,50.0,0.4699528290374717,0.4699528290374717
Denton Mateychuk,2025,defense,CBJ,-0.23727093809356536,20.0,26.0,63.0,0.46965273169632543,0.46965273169632543
Albert Johansson,2025,defense,DET,0.05856387366318269,24.0,70.0,83.0,0.4680851711161374,0.4680851711161374
Nils Lundkvist,2025,defense,DAL,-0.5961286674630734,24.0,23.0,34.0,0.4656178711967229,0.4656178711967229
Ty Dellandrea,2025,forward,SJS,0.026542303519125746,24.0,163.0,47.0,0.4625276918190218,0.4625276918190218
Jackson Blake,2025,forward,CAR,0.5918318739562668,21.0,19.0,30.0,0.4619134484745212,0.4619134484745212
Jayden Struble,2025,defense,MTL,-0.19622537865797862,23.0,124.0,54.0,0.4551761069225112,0.4551761069225112
Kaiden Guhle,2025,defense,MTL,0.3230062375784094,23.0,104.0,124.0,0.45412745506673086,0.45412745506673086
Oskar Back,2025,forward,DAL,0.12231220560433373,24.0,28.0,35.0,0.4533370480433476,0.4533370480433476
Victor Mancini,2025,defense,2TM,-0.772212001691254,22.0,38.0,41.0,0.4522400294963794,0.4522400294963794
Josh Doan,2025,forward,UTA,-0.18337914314828999,22.0,45.0,14.0,0.4489554914500578,0.4489554914500578
Dmitri Voronkov,2025,forward,CBJ,0.8101563571937394,24.0,71.0,47.0,0.447740054479642,0.447740054479642
Owen Power,2025,defense,BUF,1.1465092206359477,22.0,26.0,109.0,0.44729667135189555,0.44729667135189555
Drew Helleson,2025,defense,ANA,-0.07211016575127224,23.0,99.0,73.0,0.4470949382530248,0.4470949382530248
Rasmus Sandin,2025,defense,WSH,0.9719862523914653,24.0,91.0,122.0,0.44479666082836233,0.44479666082836233
John Beecher,2025,forward,BOS,0.17004268906292935,23.0,85.0,71.0,0.4440916845790957,0.4440916845790957
Brandt Clarke,2025,defense,LAK,0.48978026966655996,21.0,23.0,121.0,0.4438399769301398,0.4438399769301398
